,customer_id,name,address,phone,email
0,0,Laura Allen,"1054 Walker Grove Suite 667
Lake Jason, FL 24823",(667)703-0283x32880,Laura.Allen@gmail.com
1,1,Justin Murphy,"43737 Brandon Vista Apt. 512
Tracychester, PW 90710",(562)896-2722x3551,Justin.Murphy@gmail.com
2,2,Laura Weiss,"6380 Angela Ridges
East Annabury, SC 27332",(487)421-8336x790,Laura.Weiss@gmail.com
3,3,Christopher Adams,"4395 Perkins Curve Suite 151
West Timothymouth, NY 87590",7232539219,Christopher.Adams@gmail.com
4,4,David Smith,"2479 Elizabeth Center Suite 497
Derrickberg, MT 51008",3359571577,David.Smith@gmail.com
5,5,Kathryn Jackson,"97654 Rodriguez Forks Suite 395
New Stephen, AZ 62293",(415)632-0327x15777,Kathryn.Jackson@gmail.com
6,6,Christina Edwards,"608 Kimberly Summit Suite 406
Ramirezburgh, PW 29462",9265909258,Christina.Edwards@gmail.com
7,7,Sergio Johnson,"5642 Michelle Springs Apt. 085
Traviston, FL 27491",(306)484-6771,Sergio.Johnson@gmail.com
8,8,Emily Wilson,"7777 Thomas Plains Suite 988
Dylanfort, GA 80097",+1-490-771-1087x785,Emily.Wilson@gmail.com
9,9,Christopher Rowe,"USCGC Hawkins
FPO AP 84229",(391)228-3751x986,Christopher.Rowe@gmail.com
10,10,Ms. Lindsay Ballard,"594 Rick Course
New Aaronhaven, IL 25533",+1-907-830-0279x952,Ms..Lindsay.Ballard@gmail.com
11,11,Lynn Hughes,"5118 Brenda Cove
Port Steventon, NJ 00806",+1-371-328-0626x704,Lynn.Hughes@gmail.com
12,12,Melinda Torres,"10514 Edwards Pass Suite 081
South Mary, ND 48584",+1-774-641-9174x6595,Melinda.Torres@gmail.com
13,13,Angela Chen,"85671 Edwards Stravenue Suite 559
Mayview, ID 48041",+1-411-386-6783,Angela.Chen@gmail.com
14,14,Jennifer Johnston,"9325 Leach Throughway
Victoriabury, IN 94715",5748007505,Jennifer.Johnston@gmail.com
15,15,Derek Leonard,"160 Bishop Center
South Christopher, NV 16514",637-693-1009x31746,Derek.Leonard@gmail.com
16,16,Kimberly Solis,"11500 Rodriguez Ferry Suite 082
Sherylview, OK 34541",(707)306-4893x407,Kimberly.Solis@gmail.com
17,17,Kimberly Warren,"4291 Edwards Isle Apt. 671
Lewisport, KY 60760",990-409-8804,Kimberly.Warren@gmail.com
18,18,Autumn Allen,"973 Sean Place Apt. 550
South Gregory, IN 39971",+1-946-930-9018x911,Autumn.Allen@gmail.com
19,19,Morgan Carpenter,"5360 May Ports Apt. 084
Millerfort, SD 47770",601-620-0041x10845,Morgan.Carpenter@gmail.com
20,20,Jacob Mccann,"59815 Simpson Causeway Suite 075
Dustinhaven, DE 74482",(639)544-8772,Jacob.Mccann@gmail.com
